AirTemp,ProcessTemp,RotSpeed,Torque,ToolWear,Index
-0.07983177043827393,-0.037599512887936004,-0.10399361957777431,-0.16738546720200148,-0.11083814187414265,1
-0.059988238092790996,-0.029438522889010763,-0.08955223766082072,-0.22752431487710792,-0.09314519846039729,4
-0.060719126559218885,-0.029723236264080112,-0.0944936268527182,-0.22788665567966535,-0.08682586662444482,5
-0.059427241820754685,-0.02917448231267097,-0.1321890712738222,-0.20094540762135216,-0.07791230895152733,7
-0.05305821496593562,-0.03013530180800484,-0.1392242328698696,-0.2023212829340983,-0.07490947940221944,9
-0.06404275143376727,-0.035831318613669734,-0.10159394465106027,-0.21033066903258318,-0.08784982824904738,11
-0.05466771108240671,-0.027722950061922318,-0.1359780075970942,-0.19824504642186455,-0.08303479681684005,13
-0.19360602918605307,-0.05118523175637393,0.07327370210960417,-0.2302500652295257,-0.09788088791777884,16
-0.11032630481411548,-0.044724575792377846,0.0556666414383019,-0.3136276918602613,-0.08663658095167362,20
-0.06984492428670201,-0.035076909458535595,-0.12362301912233054,-0.18397538211431252,-0.08712827699824785,21
-0.05486924824520434,-0.03275897398190127,-0.13509328240603666,-0.19738738269920733,-0.07953962464777756,22
-0.052341696687115725,-0.028038126975581123,-0.13928975037866417,-0.20142667211703622,-0.07855226582173001,27
-0.07674753126433287,-0.04023772654393252,-0.13330735040540886,-0.1516900766920256,-0.09766582707442809,35
-0.16341684276577229,-0.04841535664265538,0.034537412735388795,-0.176125221684004,-0.1462285036230848,38
-0.21883551124367448,-0.060021207690466136,0.09458697592039765,-0.19591823995868737,-0.11946052900769713,42
-0.05477533865306738,-0.033697525571919,-0.13229313053866823,-0.20173728884382788,-0.07714522837264563,55
-0.0549716657738514,-0.03173634040737701,-0.13058285408005063,-0.2091783203568521,-0.07317933136199666,56
-0.05417658261940023,-0.030851617262416125,-0.13347272779932778,-0.19658737348158184,-0.08456021081740178,61
-0.07946208517611167,-0.03854865028007752,-0.11210648381412115,-0.1827915181375236,-0.08673977457229423,65
-0.05320067931427048,-0.02774256661475879,-0.13471651984755575,-0.20609822013676457,-0.07789052606677827,67
-0.048159677721326864,-0.03690874272761765,-0.1591989461986415,-0.22023708056796587,-0.03514406476457474,74
-0.08178470853915025,-0.06515014254824432,-0.177882695405383,-0.2330982946348245,0.07326732914747477,76
-0.06338377853889615,-0.03738138515715179,-0.11917783315853496,-0.1661019377241225,-0.10360357740142248,80
-0.07662721239111178,-0.039759779950129435,-0.13453859259463846,-0.15035042362355933,-0.09837250342068929,81
-0.052236563463168545,-0.028012555543780057,-0.1396582466953191,-0.20079040181909769,-0.07895074445876236,92
-0.053546107447185735,-0.02817238301573049,-0.13944078634550416,-0.2001054410571018,-0.07838379411460562,97
-0.05346541091388614,-0.027896229261205635,-0.13848225168235104,-0.19908755147138013,-0.08071706865130492,100
-0.05309996158517154,-0.02761545740259545,-0.1333198462329125,-0.1948773124016517,-0.09073593435779653,101
-0.05419303604373813,-0.028987007498407633,-0.1390215002886867,-0.20026433188646175,-0.07718263626283356,108
-0.0532848890989929,-0.02382028866812168,-0.12927965623405255,-0.2033498620163551,-0.08991381596260581,119
-0.0661907058276065,-0.028293917550526966,-0.10271546005187003,-0.2139053439788607,-0.08854308457126367,120
-0.053179409474306216,-0.02825429925542399,-0.13460460788107995,-0.2020466668928483,-0.08156352847646887,128
